"","elements_number","y_component_number","vector_length","temporary_size","load_overlap","threads_number","lws_y","time_per_pixel","row_number","measurement_order","experiment_id","slowdown","method"
"1",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,108,1,1.0511551928136,"GPR"
"2",6,6,1,2,2,256,1,1.17919974204394e-10,17258,47,2,1.01217714049192,"GPR"
"3",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,57,3,1.02697620634826,"GPR"
"4",6,6,1,2,2,256,1,1.17919974204394e-10,17258,56,4,1.01217714049192,"GPR"
"5",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,44,5,1.04732094092038,"GPR"
"6",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,40,6,1.07835653189674,"GPR"
"7",6,6,1,4,2,1024,32,1.28655386741334e-10,21997,83,7,1.10432555925605,"GPR"
"8",6,6,1,2,1,256,1,1.18202032710546e-10,19283,98,8,1.01459821609115,"GPR"
"9",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,110,9,1.03091776073943,"GPR"
"10",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,67,10,1.07835653189674,"GPR"
"11",6,3,2,4,2,1024,2,1.61135947928759e-10,16482,3,11,1.38312549765559,"GPR"
"12",6,6,1,2,2,128,1,1.18258966570151e-10,16588,84,12,1.01508691320631,"GPR"
"13",6,6,1,2,2,256,1,1.17919974204394e-10,17258,56,13,1.01217714049192,"GPR"
"14",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,89,14,1.02697620634826,"GPR"
"15",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,77,15,1.01488180994275,"GPR"
"16",6,6,1,4,1,256,1,1.19886821794317e-10,8697,60,16,1.02905976095368,"GPR"
"17",6,6,1,2,2,256,1,1.17919974204394e-10,17258,107,17,1.01217714049192,"GPR"
"18",6,6,1,4,2,128,1,1.1965589478547e-10,17968,92,18,1.02707757734946,"GPR"
"19",6,6,1,2,1,256,1,1.18202032710546e-10,19283,86,19,1.01459821609115,"GPR"
"20",5,5,1,4,1,256,4,1.21905973842592e-10,12608,19,20,1.04639134163142,"GPR"
"21",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,96,21,1.00979555916616,"GPR"
"22",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,81,22,1.0511551928136,"GPR"
"23",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,96,23,1.0761594320093,"GPR"
"24",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,31,24,1.07835653189674,"GPR"
"25",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,93,25,1.07835653189674,"GPR"
"26",6,6,1,2,2,256,1,1.17919974204394e-10,17258,70,26,1.01217714049192,"GPR"
"27",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,81,27,1.0761594320093,"GPR"
"28",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,51,28,1.07835653189674,"GPR"
"29",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,96,29,1.02697620634826,"GPR"
"30",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,62,30,1.0511551928136,"GPR"
"31",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,75,31,1.03091776073943,"GPR"
"32",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,58,32,1.00979555916616,"GPR"
"33",6,6,1,2,2,256,1,1.17919974204394e-10,17258,79,33,1.01217714049192,"GPR"
"34",6,6,1,4,2,128,1,1.1965589478547e-10,17968,47,34,1.02707757734946,"GPR"
"35",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,102,35,1.0761594320093,"GPR"
"36",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,37,36,1.07835653189674,"GPR"
"37",6,6,1,2,2,256,1,1.17919974204394e-10,17258,79,37,1.01217714049192,"GPR"
"38",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,32,38,1.0761594320093,"GPR"
"39",6,6,1,2,2,256,1,1.17919974204394e-10,17258,112,39,1.01217714049192,"GPR"
"40",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,98,40,1.0761594320093,"GPR"
"41",6,6,1,4,1,128,1,1.21238783742256e-10,9680,75,41,1.04066445293017,"GPR"
"42",6,6,1,4,2,1024,1,1.29667282018423e-10,19245,45,42,1.1130112571198,"GPR"
"43",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,75,43,1.00979555916616,"GPR"
"44",5,5,1,2,2,128,2,1.1896345482486e-10,9883,11,44,1.02113395410818,"GPR"
"45",6,6,1,4,1,256,1,1.19886821794317e-10,8697,45,45,1.02905976095368,"GPR"
"46",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,43,46,1.07835653189674,"GPR"
"47",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,61,47,1.0761594320093,"GPR"
"48",6,6,1,2,1,256,1,1.18202032710546e-10,19283,67,48,1.01459821609115,"GPR"
"49",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,86,49,1.04732094092038,"GPR"
"50",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,90,50,1.03091776073943,"GPR"
"51",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,37,51,1.0761594320093,"GPR"
"52",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,63,52,1.0761594320093,"GPR"
"53",5,5,1,4,1,256,2,1.22388925799567e-10,21363,22,53,1.05053680497726,"GPR"
"54",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,94,54,1.02697620634826,"GPR"
"55",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,96,55,1.03091776073943,"GPR"
